"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"Rt[1]",3.84455949731384,0.0281217549116464,1.60504521506985,1.01144610262111,2.62622657757262,3.77675602930321,4.93185867128936,7.11050965095682,3257.53960559317,0.99945098105597
"Rt[2]",3.81777480945844,0.0292163676127569,1.61788757889145,1.04443631813311,2.61199553092013,3.75066475570634,4.92166588874068,7.17196999437617,3066.50898012944,1.00003823652867
"Rt[3]",3.80840074067427,0.0301372845393547,1.64238887673531,0.945847222699386,2.62147547255212,3.72310353949218,4.86561022860456,7.24757086595941,2969.91317622011,1.00016645070358
"Rt[4]",3.87481286757285,0.0285483256271355,1.61914331900033,1.01226224167608,2.67642186761348,3.74274674511332,4.97276455563689,7.27001833749487,3216.69068073753,0.999684123292019
"Rt[5]",3.84995971898834,0.0305028382605667,1.62559266677531,0.99411555100884,2.68616665522161,3.74527404608571,4.92776414982913,7.23815380451588,2840.16099678531,1.000549347074
"Rt[6]",3.82157458405563,0.0296539740744463,1.64920476384681,0.94630242493871,2.62163010330015,3.70966653270417,4.88324034998057,7.35567981244658,3093.02445792828,0.999750022242769
"Rt[7]",3.84861332722251,0.0280847922185692,1.57945980526858,1.09828571620802,2.69047908849793,3.75783716135869,4.86969741600316,7.24990973293535,3162.82181967992,0.999997849467601
"Rt[8]",3.78706199069139,0.0284997550637852,1.55917638526676,1.04025628375289,2.66887475730167,3.67244323074366,4.83674208458201,7.15169800705165,2993.01050994628,0.999970911465809
"Rt[9]",3.71717697154967,0.0272108505508798,1.53446295118697,1.00537089243683,2.61932214843076,3.62618032877483,4.69382812544075,6.96928230205511,3180.0106906364,0.999578012851932
"Rt[10]",3.72521256366066,0.0283638694344144,1.63615541426183,0.858052101430563,2.53809147638773,3.65769923378612,4.79168427288404,7.13595990938774,3327.50067742861,0.999864275731666
"Rt[11]",2.46037629614818,0.0228206669576808,1.27199129530857,0.450592665633018,1.52363394818495,2.28299854567859,3.23399842487537,5.30995187897325,3106.7879543009,0.999467220880708
"Rt[12]",3.04283484313726,0.0249189704823755,1.42198601728229,0.631672889153803,1.99127699881641,2.92678315725436,3.95758262221752,6.07524295956369,3256.3453722025,0.999473835266259
"Rt[13]",3.52494672784929,0.0268869472143677,1.54985549596471,0.905733269581501,2.36814773785449,3.40296207087959,4.56444235419715,6.82251155135256,3322.76346267692,1.00007278927945
"Rt[14]",3.67600367528132,0.0286752486057891,1.58450460217681,0.937193882464527,2.52341927400105,3.58250274212447,4.66668450238874,7.05931061923713,3053.32213599897,0.999482403454856
"Rt[15]",3.72021221793824,0.0278673876725483,1.55980795792285,0.942888673456363,2.55965420464317,3.64990812201184,4.75722562525494,6.99549232316803,3132.92317219594,0.999434052536374
"Rt[16]",3.58455977614171,0.0277886615212769,1.56762761191625,0.865679641987692,2.44445274883905,3.4714569383967,4.60422216211522,6.84464537051796,3182.36911624183,0.999773337838398
"Rt[17]",3.11240469144003,0.0255622840302995,1.43837388818788,0.728072011496155,2.03193763504581,3.00882657877545,4.06439112671245,6.12367982782066,3166.24318906464,0.999659985350921
"Rt[18]",2.42175894890142,0.0226351485594647,1.24448081885702,0.429487746056787,1.48342595344437,2.28682214268919,3.22259542694604,5.19301856826118,3022.80210541423,0.999966948533067
"Rt[19]",2.51338639179053,0.0230004164810456,1.24591434278025,0.472718581946602,1.57177367450958,2.41626625707656,3.30946145881112,5.20436516496689,2934.30308748985,0.999901567584268
"Rt[20]",2.97862757339014,0.0242636967596886,1.34339942484716,0.736427505335045,1.99198733616461,2.90227950845226,3.82864745190174,5.89326579177262,3065.46510457548,1.00076063784874
"Rt[21]",3.48505135430468,0.0253344602291374,1.4513833248198,0.990175818022352,2.43706556173096,3.38445896794324,4.41397086870687,6.49517813657432,3282.01791034036,1.00102673640495
"Rt[22]",3.64828211910884,0.0269116526200326,1.50608372125626,0.970719428987372,2.57027592313598,3.55239610305493,4.63048042436278,6.88226063481648,3131.96927116504,1.00002865910586
"Rt[23]",3.30312211130815,0.024864258608202,1.34985189817518,0.928114113839307,2.30635977002378,3.24750524982843,4.20287522033538,6.14447983961468,2947.27876372489,0.999921439344541
"Rt[24]",2.40617413219862,0.0194639742990031,1.10752001188512,0.557775539600235,1.59864080067812,2.30692695678651,3.12834888417929,4.74701098915971,3237.72619992891,0.999647927628712
"Rt[25]",1.48464835006687,0.0134869448949445,0.763474501563387,0.29390325533249,0.925808842567747,1.39693078155483,1.92715135547986,3.22666379334085,3204.5120432986,0.999724886066429
"Rt[26]",0.905666019064179,0.00895411436008186,0.500464185585336,0.16235058533731,0.528231474190477,0.829448469213686,1.20882526302749,2.02638261698962,3123.9259730188,1.00044790592099
"Rt[27]",0.609154863247334,0.00683325299465657,0.368630898360401,0.0890856122722011,0.321722131679749,0.548813358747929,0.819596996877584,1.47418166862463,2910.23774143193,0.99970838136657
"Rt[28]",0.494591657492195,0.00525322571514337,0.300902422207504,0.0707066432446558,0.27308094127273,0.435259346707553,0.65913567120511,1.20771266618389,3280.94722319491,1.00046082688317
"Rt[29]",0.546982109274256,0.00596985729471911,0.330145503787847,0.0861932228874967,0.301250544656081,0.482170300496979,0.740092249032818,1.32239416110665,3058.31964633657,1.00173691293313
"Rt[30]",0.798816627604249,0.00799478079740055,0.452143340044926,0.141507916065165,0.458000874763825,0.730547741482532,1.05701577385136,1.86139981508724,3198.4469735184,1.00011865748393
"Rt[31]",1.42705803744498,0.0133755538480689,0.712804722162823,0.292985258688137,0.8969369110878,1.33749360305854,1.87927539045154,3.01827327879714,2839.99508247859,1.00014127969223
"Rt[32]",2.5617013586755,0.0194729430188227,1.06410133196218,0.743669446095291,1.78064854010517,2.46579615624806,3.26983059228017,4.811870380359,2986.08927420617,0.999891937241885
"Rt[33]",3.82028859662125,0.0233471673313018,1.29685212048059,1.44472378270451,2.89163762088621,3.74794518342373,4.67529173100361,6.49211502679293,3085.40743035704,0.999888366558542
"Rt[34]",4.56087597290798,0.0254188693723404,1.43052382420263,1.87845933019743,3.57069406478512,4.47891715706437,5.53010663455766,7.54500252565151,3167.21635558803,0.999631730318545
"Rt[35]",4.53577418126783,0.0219864860323,1.29512042525656,2.14633213295195,3.62997690446324,4.49671089320069,5.37637954792423,7.17340222542271,3469.83366924802,0.999813897241059
"Rt[36]",3.34329847873297,0.01864991754038,1.05676595845337,1.39375142095483,2.59275975142608,3.2645264217136,4.06445246344649,5.56959366847637,3210.73008878751,0.999403367362901
"Rt[37]",1.84840777161899,0.0120547639147155,0.682413700154475,0.672302405279821,1.35793587971916,1.79150214604051,2.28726583682014,3.31085384831864,3204.63119173712,0.999705250449911
"Rt[38]",0.890208258039408,0.00699250762137683,0.391444166392079,0.242964959485803,0.609993392902407,0.845886181634652,1.13387516356414,1.75571240605709,3133.81787722906,0.999929686395192
"Rt[39]",0.535735228366159,0.00466024096803667,0.264370807319191,0.118765911259649,0.340594451634891,0.503941206665535,0.694250396394219,1.15313112328922,3218.17937875808,0.999667333399785
"Rt[40]",0.478040748602238,0.00426660027417658,0.235798948769552,0.103155567596488,0.304132654176147,0.450716183703505,0.619063609204342,1.00814003883227,3054.35712914974,1.00024944729854
"Rt[41]",0.607111390724915,0.00503193572859971,0.278881622083885,0.14715727968435,0.402156245403065,0.580565048898207,0.779035426464228,1.22795443045799,3071.63509426427,1.00001169166036
"Rt[42]",0.927528210808878,0.00698274234560654,0.378281281208858,0.280555876732841,0.656337966389598,0.89730678646688,1.16953685911132,1.75215097518522,2934.79430561004,1.00008436658512
"Rt[43]",1.39141921817439,0.00876502317807697,0.498690120270994,0.532622650407128,1.03543537829656,1.35354341371113,1.71159572538246,2.46847356472392,3237.09459731208,1.00049691693054
"Rt[44]",1.95801880948335,0.0119353308948775,0.630464556584341,0.801457218758466,1.52484060089118,1.92165187596253,2.35167358968518,3.29994005015988,2790.30980477564,0.999565337250889
"Rt[45]",2.56320351537008,0.0130216470772737,0.731609818623139,1.24852135868203,2.03435053368622,2.52341996617368,3.02641986695524,4.14271949760551,3156.65565631847,0.99961028098706
"Rt[46]",2.97036494565864,0.0149471252791747,0.781731480139249,1.52909420390411,2.42710477868764,2.94522588041728,3.47259121909008,4.58758186628204,2735.26780265418,1.0019398715265
"Rt[47]",2.97935056932114,0.0131563380313472,0.731165715418605,1.63472862415915,2.45926610504881,2.96241253338571,3.4546298255388,4.49533227034964,3088.59945926955,1.0002545698791
"Rt[48]",2.69663931329127,0.0113953814818179,0.634212385193367,1.51019010194451,2.24622703634281,2.67447417515441,3.11101346231413,3.98785624045225,3097.50274976806,1.00069967270739
"Rt[49]",2.40728867301066,0.00981260132623073,0.551120576637252,1.39682444893274,2.0147155696455,2.389343415712,2.765163333629,3.53271885718191,3154.45941058027,0.999407119151844
"Rt[50]",2.17871308191566,0.00914489716744406,0.482376019539124,1.28193190065394,1.84570676457943,2.1558435722901,2.49217869862919,3.15494750323842,2782.36285261079,0.999582931471389
"Rt[51]",2.00590016403862,0.00742375757556345,0.425014458933527,1.20813012226664,1.71839731524574,1.99776872754495,2.28733390783726,2.88228199067604,3277.62940316905,0.999898317154526
"Rt[52]",1.88087785281444,0.0064746712998448,0.381320370060972,1.17239492677924,1.61128942695747,1.86554342524438,2.12830736752805,2.67182384124064,3468.52285673741,0.999686068670491
"Rt[53]",1.8058200929763,0.00593067663154763,0.346928824647671,1.15760087325576,1.56056708586828,1.79829920899775,2.0301280783912,2.52425182410217,3421.93912839231,0.999518262079878
