"time","domestic_unobs","imported_unobs","domestic","imported","imported_backproj","domestic_backproj","imported_backproj_incl_unobs","domestic_backproj_incl_unobs"
1,0,0,0,0,0.00844802772463784,0,0.00844878930563762,0
2,0,0,0,0,0.0300742943859849,0,0.0300758287622186,0
3,0,0,0,0,0.102233216685596,0,0.102235793828208,0
4,0,0,0,0,0.227624875186771,0,0.227626679459799,0
5,0,0,0,0,0.314352432318827,0,0.314351011742094,0
6,0,0,0,0,0.253462693494282,0,0.253459127654229,0
7,0,0,0,0,0.107582172213667,0,0.107579767869259,0
8,0,0,0,0,0.0192938305866027,0,0.019293222292635,0
9,0,0,0,1,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0.00499778335699221,0.00455122728692135,0.00499730787423979,0.00453755481377435
13,0,0,0,0,0.0265806466230131,0.025313092964611,0.026578721605497,0.0252616010572133
14,0,0,0,0,0.0947376825011289,0.094754876479048,0.0947336376092722,0.0946391089223229
15,0,0,0,0,0.219501165320267,0.232083509753379,0.219497815136467,0.231958222825946
16,0,0,0,0,0.317821114702534,0.359225212161603,0.317822464133074,0.359243864294273
17,0,0,0,0,0.272848571755266,0.337764122227929,0.272853165463323,0.337973373826346
18,0,0,0,0,0.128388886798309,0.190091129941538,0.128392234083279,0.190345947796206
19,0,0,0,0,0.0309030731881092,0.103888683945473,0.0309047230927729,0.104132904818079
20,0,0,1,1,0.0176990835815973,0.231466337587772,0.0177030892946993,0.231843963107963
21,0,0,0,0,0.0829026381554637,0.680787486040466,0.0829184099581629,0.68130318168258
22,0,0,0,0,0.320667310627674,1.37737047399122,0.320709808739981,1.37757317207281
23,0,0,0,0,0.834435169187868,1.81833075809297,0.83450437119988,1.81772516926489
24,0,0,0,0,1.43933314643689,1.61618477861994,1.4393822927979,1.61497904144497
25,0,0,0,0,1.66695258528211,1.09867807448805,1.66690708674549,1.0975967553719
26,0,0,3,0,1.34037481716209,0.699121556945008,1.34020758948215,0.698742130606998
27,0,0,0,1,0.782172952805503,0.441687940784935,0.781944480437931,0.442217192572118
28,0,0,1,1,0.345138065190729,0.268723983289607,0.344943061301536,0.269973917239518
29,0,0,1,1,0.124548081764728,0.194322166540631,0.124441055839335,0.195928912412114
30,0,0,1,2,0.0502501468874798,0.23651806085294,0.0502513189119068,0.238231378617632
31,0,0,1,0,0.0412193493559687,0.445462744143129,0.0413573968148618,0.447020179910105
32,0,0,0,1,0.0598032426565585,0.988494794602105,0.0600733110017118,0.988698470437988
33,0,0,1,0,0.0829166449801237,2.15223067867802,0.0832005815353472,2.14655416892296
34,0,0,0,0,0.111468203729491,4.10649430043804,0.1116138455732,4.0846527266554
35,0,0,1,0,0.218941317243134,6.31283300023611,0.218879842342722,6.26619921560095
36,0,0,0,1,0.503354306546312,7.43296964206711,0.503092763457255,7.37643591361565
37,0,0,2,0,0.901547941239206,6.55626040637572,0.901270176030561,6.54027192405039
38,0,0,2,0,1.17815838952836,4.35656903117958,1.17831731035983,4.45386125435585
39,0,0,4,0,1.1739615173801,2.40930906549363,1.17499409017105,2.72871263466042
40,0,0,9,1,0.898973378196217,1.50734233895174,0.900751293495072,2.25576435138863
41,0,0,5,0,0.500010384680867,1.47304551133164,0.501774524153665,2.98554607470192
42,0,0,1,1,0.201053179586782,2.09271364084695,0.202154741474237,4.77579732844342
43,0,0,5,1,0.108274486036993,3.27077747972987,0.10837010868238,7.3039177568478
44,0,0,1,2,0.196717699495294,4.74411821267763,0.194459676606826,9.65324189811539
45,0,0,3,0,0.40800314458274,6.30386983570166,0.400229878431108,11.0033498159111
46,0,0,1,0,0.58719992439954,8.17099740875271,0.572431026445055,11.5056148673833
47,0,0,7,0,0.570873072887058,10.3655669697393,0.554786520369366,11.7408917593738
48,0,0,1,0,0.424565538352894,12.3394871997069,0.420387069317883,12.0278119942027
49,0,0,6,1,0.334277152938126,13.9430802426653,0.362443701628058,12.7449131249302
50,0,0,6,1,0.328614080418539,15.5496267270873,0.412179544774917,14.2232917481759
51,0,0,10,0,0.333266167750257,17.3137314375204,0.483957233825138,16.3033090166865
52,7,0,7,0,0.355549139305434,19.1756287320449,0.576089508737095,18.6100756089172
53,2,0,13,1,0.491861164643371,21.147494011539,0.783468552220341,20.9379931967284
54,1,0,11,0,0.885490641680891,23.3948376006282,1.22103653482073,23.392940713499
55,1,0,15,1,1.53346624353343,26.4105203509063,1.83056606779402,26.5643285106001
56,0,0,16,0,2.09589426283407,30.5554647037114,2.27134226536711,31.0005018738407
57,1,0,20,0,2.33154147762506,34.7530712860861,2.37433920626051,35.8130179443819
